url,date,publication
https://www.nytimes.com/2026/01/07/us/austin-peay-professor-charlie-kirk-settlement-reinstated.html,2026-01-07 23:59:58+00:00,nytimes
https://www.bloomberg.com/news/articles/2026-01-07/ecb-s-pereira-says-price-stability-in-place-urges-eu-reforms,2026-01-07 23:56:43.105000+00:00,bloomberg
https://www.bloomberg.com/news/articles/2026-01-07/china-metals-in-grip-of-frenzy-as-investors-bet-on-global-rally,2026-01-07 23:56:43.076000+00:00,bloomberg
https://www.nytimes.com/2026/01/07/movies/arthur-cohn-dead.html,2026-01-07 23:52:46+00:00,nytimes
https://www.nytimes.com/es/2026/01/07/espanol/cultura/nick-reiner-asesinato-defensa.html,2026-01-07 23:52:13+00:00,nytimes
https://www.bloomberg.com/news/articles/2026-01-07/newsom-plans-crackdown-on-corporate-homebuying-in-california,2026-01-07 23:49:15.389000+00:00,bloomberg
https://www.nytimes.com/es/2026/01/07/espanol/estados-unidos/stephen-miller-asesor-trump.html,2026-01-07 23:45:45+00:00,nytimes
https://www.nytimes.com/2026/01/07/us/ice-minneapolis-somalis-immigration.html,2026-01-07 23:44:50+00:00,nytimes
https://www.forbes.com/sites/forbestv/2026/01/07/classified-briefing-reassured-me-there-wont-be-us-boots-on-the-ground-in-venezuela-millermeeks/,2026-01-07 23:44:10+00:00,forbes
https://www.bloomberg.com/news/articles/2026-01-07/japan-s-base-pay-growth-holds-steady-keeping-boj-on-hike-path,2026-01-07 23:41:16.663000+00:00,bloomberg
https://www.bloomberg.com/news/articles/2026-01-07/gold-steadies-as-traders-await-commodity-index-rebalancing-data,2026-01-07 23:40:05.978000+00:00,bloomberg
https://www.wsj.com/livecoverage/stock-market-today-dow-sp-500-nasdaq-01-07-2026/card/trump-family-s-flagship-crypto-venture-applies-for-national-banking-license-u8U8ghZqFaCvtWb9t25G,2026-01-07 23:39:37+00:00,wsj
https://www.forbes.com/sites/forbestv/2026/01/07/walz-has-an-aversion-to-taking-accountability-inside-the-fallout-from-minnesotas-fraud-scandal/,2026-01-07 23:39:13+00:00,forbes
https://www.forbes.com/sites/forbestv/2026/01/07/regime-change-is-a-fantasy-venezuela-reminds-former-gop-gov-of-these-lessons-from-iraq/,2026-01-07 23:34:23+00:00,forbes
https://www.nytimes.com/2026/01/07/style/tiny-modern-love-stories-either-a-good-omen-or-a-nightmare.html,2026-01-07 23:32:59+00:00,nytimes
https://www.bloomberg.com/news/articles/2026-01-07/graham-says-trump-gave-green-light-for-russia-sanctions-bill,2026-01-07 23:31:56.208000+00:00,bloomberg
https://www.bloomberg.com/news/articles/2026-01-07/latest-oil-market-news-and-analysis-for-january-8,2026-01-07 23:30:38.655000+00:00,bloomberg
https://www.forbes.com/sites/erikkain/2026/01/07/nyt-strands-thursday/,2026-01-07 23:30:29+00:00,forbes
https://www.bloomberg.com/news/articles/2026-01-07/bluescope-shares-slip-after-spurning-steel-dynamics-sgh-bid,2026-01-07 23:30:19.792000+00:00,bloomberg
https://www.forbes.com/sites/robreischel/2026/01/07/green-bay-packers-running-back-josh-jacobs-could-be-poised-for-a-big-game-against-the-bears/,2026-01-07 23:29:40+00:00,forbes
https://www.bloomberg.com/news/articles/2026-01-07/traders-and-refiners-eye-venezuelan-oil-as-us-plans-take-shape,2026-01-07 23:28:12.762000+00:00,bloomberg
https://www.nytimes.com/2026/01/07/us/politics/venezuela-massie-republican-primary-kentucky.html,2026-01-07 23:27:43+00:00,nytimes
https://www.nytimes.com/athletic/6952328/2026/01/07/darren-fletcher-man-utd-manager-next/,2026-01-07 23:26:32+00:00,nytimes
https://www.forbes.com/sites/tonyeast/2026/01/07/indiana-pacers-plan-to-sign-center-tony-bradley-to-10-day-contract/,2026-01-07 23:23:41+00:00,forbes
https://www.nytimes.com/athletic/6951582/2026/01/07/mets-kyle-tucker-mlb-free-agency/,2026-01-07 23:23:33+00:00,nytimes
https://www.nytimes.com/athletic/6952302/2026/01/07/john-harbaugh-firing-reaction-jim-harbaugh/,2026-01-07 23:22:30+00:00,nytimes
https://www.bloomberg.com/news/articles/2026-01-07/trump-withdraws-us-from-31-bodies-in-un-already-in-fiscal-peril,2026-01-07 23:21:52.546000+00:00,bloomberg
https://www.forbes.com/sites/zakdoffman/2026/01/07/samsung-confirms-new-options-for-android-users-after-gmail-issues/,2026-01-07 23:19:50+00:00,forbes
https://www.bloomberg.com/news/newsletters/2026-01-07/ice-agent-shoots-dead-us-citizen-in-minneapolis-evening-briefing-americas,2026-01-07 23:19:41.423000+00:00,bloomberg
